,rating,review_text,title;;
0,['5.0 out of 5 stars'],['Best color ever!!'],['Great matte nude lipstick'];;
1,['5.0 out of 5 stars'],['Gorgeous pinkish nude and smells gorgeous too!'],['Very Happy with Purchase'];;
2,['5.0 out of 5 stars'],['Nice color'],['Looks good'];;
3,['3.0 out of 5 stars'],['Couldn’t even scrub it off !!!'],['Drying'];;
"4,['2.0 out of 5 stars'],""[""""Great smell, color didn't match on-line swatches, not much pink. Still worked for me,  but wasn't what I hoped for.  Very sticky, was annoying all day.  Won't repurchase.""""]"",['Could have been']";;
5,['3.0 out of 5 stars'],['it is kind of sticky and I cant stand the smell but I do love to wear them once the stickiness isnt so bad or sometimes goes away completely and the smell goes away'],['liquid lip'];;
6,['3.0 out of 5 stars'],['the color is very gray'],['Three Stars'];;
"7,['1.0 out of 5 stars'],""['brush is the worst, ends up looking like a camel hoof the way lip color brushes do. I dont recommend']"",""['brush is the worst, ends up looking like a camel hoof the ...']""";;
"8,['5.0 out of 5 stars'],""['Amazing!!! Great scent, lasting power and feel! I wear it almost everyday!']"",['Awesome!']";;
9,['4.0 out of 5 stars'],['Very dark!'],['Four Stars'];;
0,['2.0 out of 5 stars'],['Sticky and not meany colors to pick from'],['Lipstick'];;
1,['5.0 out of 5 stars'],['Me encanto'],['Sexy'];;
2,['5.0 out of 5 stars'],['Half of these girls did not pick right color for their skin. Not everyone looks great in the new nude look! Makes the look washed out. They need to use color chart to pick more vibrant color and try smiling when you take selfie makes big difference!'],['Chose to suit your skin type'];;
3,['5.0 out of 5 stars'],['Nice color and great staying power.  It really does last all day.  Happy with purchase.  Thanks for fast delivery.'],['Five Stars'];;
4,['5.0 out of 5 stars'],['Love. Stays on so well. Forget it was supposed to smell good and was pleasantly surprised with how great it smelled.'],['STAYS ON'];;
"5,['2.0 out of 5 stars'],""[""""I got the color Bittersweet and it's a great grey-ed out chocolate brown on me and does genuinely smell like chocolate, but I cannot stand the formula of this lipstick. It's super thick like a mousse, feels thick and heavy going on and takes forever to dry down even with a thin layer. And even then it remains vaguely tacky like I have glue or something on my lips unless I take it off. It's gross."""", """"Also, it's a nightmare to get off! I wear one of the most bulletproof mascaras ever (Kiss Me Heroine) that will literally stand up in the ocean and when I'm dripping sweat while working outside in the dead of summer without budging (and I mean that, I've worn it in those instances multiple times). My cleansing oil will take that mascara right off with a little light massaging. This lipstick? It took THREE rounds of my cleansing oil to get it off and I was practically scrubbing with a damn cotton pad the last time."""", """"Loreal needs to re-evaluate the formula on these things or something because it's terrible right now.""""]"",""[""""Bittersweet is lovely, but the formula SUCKS and it's hard to get off""""]""";;
"6,['4.0 out of 5 stars'],""['I got this in the color Dose of Cocoa. I love the applicator. It makes putting this lip color on a breeze. It holds just the perfect amount of product. It is very long lasting. I have a hard time getting it off. It does not want to leave. It does not dry down all the way. It stays at a slightly tacky level, but doesn’t come off on my coffee cup, despite the tackiness. I do start getting some minimal transfer around 6 hours after I apply it. It starts wearing off from the center of the lips and starts oooking a little dry after about 6 hours. (Photo is at the 8 hour mark.) This is more of a fall/winter color for me. It does smell like chocolate. It does not taste like chocolate, or even a little sweet.']"",['Smells Like Chocolate']";;
"7,['4.0 out of 5 stars'],""['I got this lip gloss for my wife. The color is great on her. The applicator stick is a little bit awkward and you may need some time to get used to it to apply it perfectly. My wife loves that it really does last. It absorbs well into lips and leaves her feeling moisturized with long lasting color. The only downside is that it feels pretty sticky when you just apply it. It goes away in about a hour or so, but is somewhat bothersome. Other than that this is a great color, my wife is very pleased.']"",""['Great lipstick, a little difficult to apply.']""";;
"8,['5.0 out of 5 stars'],""[""""This is a stunning, full coverage, budge proof lipstick. Great color payoff, and wand is shaped perfectly so you don't have to wear liner. Don't agree with the comments about the wand and hard to apply. It's fab.""""]"",['Tati made me do it!']";;
"9,['2.0 out of 5 stars'],""['Oooh this smells like chocolate!!! I want to wear it! First off, the light brown color looks awful on my skin. I look rather dead. It goes great with the circles under my eyes in the morning. If you are not a woman of color, I’d stay away from this one, even though it smells delish. On top of that, a few minutes after applying, my lips felt terribly dry. Not for me! Two stars for the great scent.']"",['Smells fantastic!']";;
"0,['4.0 out of 5 stars'],""['Candy Man - Chocolate scented - Matte liquid lipstick', """"Candy Man is a medium nude/neutral shade with a hint of pink. The color showing on the product page looks just like the color when I wear it.  Of course, you have no idea what the color looks like on my laptop...so there's that issue. The shade works with my fair skin tone...although I prefer a bit more color."""", '  Matte lipstick does not have any gloss or shimmer at all.', """"This lipstick feels very good on my lips & smells great too (smells like chocolate). It is not sticky. I don't taste chocolate when I lick my lips, but that's okay with me, because I don't like licking my lips.  My pampered pooch was very interested though.  She kept wanting to smell them."""", 'Matte lipstick is not forgiving when it comes to showing all those wrinkles in my lips which become more & more prominent as I age.', 'I think matte lipstick works better for young women who tend to have less wrinkly lips.', 'I really like the feel of this lipstick, it is not drying  & is not sticky.  I really like the wand which not only is shaped nicely for applying the lipstick, but I can scrape the sides of the tube with it too.', """"The lipstick is chocolate scented, but doesn't taste like chocolate.""""]"",""['Candy Man=med. nude shade w/hint of pink";" Matte lipstick accents lip wrinkles, more suitable for the young']""";
"1,['5.0 out of 5 stars'],""['I have the """"Candy Man"""" shade, FWIW.', """"This lipstick goes on tacky, and is generally not like regular lipsticks. But it's kind of magical in that it seems to absorb into your lips. Because it's a matte lipstick, the effect is really great, that your lips have more color, but it doesn't quite look like you have lipstick on. (I am a fair-skinned caucasian, and the effect on me is a slightly stronger color and a smoother look to my lips. It's subtle that way, but really polished in appearance."""", 'Additionally, it seems to be moisturizing and protecting my lips, and even the next day, they feel smooth and healthy.', 'Even after it\'s """"absorbed"""", it does feel just a bit tacky (in the sticky sense) on your lips, so that\'s a bit weird, and some will hate it. But I think I\'m getting used to it.', 'Update: I forgot to comment on the """"chocolate"""", which doesn\'t come off as chocolate at all to me. I forgot about this when I first put it on (so I didn\'t have a chocolate expectation at that moment), and what it smelled like to me was fake coconut. I am definitely """"ugh"""" to this facet of this product.']"",['Candy Man: Excellent neutral shade that moisturizes lips and adds a subtle polished look']";;
"2,['4.0 out of 5 stars'],""[""""I've tried several shades of the Infallible lipsticks now but this is the first scented one. I got the shade Candy Man which is a pinky nude that goes well with my skin tone and is nice for everyday wear. The scent is reminiscent of chocolate but not the good kind, thankfully the scent is not as long lasting as the color. The formula is a bit thicker, and it takes a nice thin layer to dry down quickly without being tacky feeling. It does dry matte but doesn’t feel heavy or dry on the lips. The applicator is wide, not my favorite but similar to others within this range and I'm used to using it, but a lip brush can also be used for more precise application and a lip liner is definitely recommended. Overall, it is a very pretty shade, lasts on my lips about 6-8 hours which is good and it would probably last longer if I didn't always have a cup of coffee or tea in my hand, the scent is not great but it doesn’t last long.""""]"",""[""""Doesn't dry out the lips""""]""";;
"3,['4.0 out of 5 stars'],""['This is not """"easy"""" to apply...but takes some time to get used to the applicator.  It is extra bendy and can be tricky to get it to perfectly line your lips.  Not """"hard"""" either, just takes time.  The color is nice, fairly light but a good """"fall"""" color, not sure about spring!  The scent is something to get used to as well.  It smells kind of chocolatey but I prefer my lipstick to be fragrance free, I feel like it is made for younger people.  I like  that is lasts all day and I don\'t need to reapply it, but it does take some time to dry all the way.  For the first hour it seems more """"tacky"""" or """"sticky"""" but eventually goes away.  This is about a 3.5 star, I bumped it to 4, but only because it didn\'t cause irritation and it is long lasting.']"",['Decent lipstick.']";;
"4,['4.0 out of 5 stars'],""[""""I found this lipstick very easy to apply. I liked the curved applicator. It goes on feeling dry, and has a matte finish, not shiny, but on the plus side, it lasts well even if you're drinking and eating. I'm not sure I could get used to the dry feeling, but It might be worth it if you'd rather not have to reapply lipstick very often. I received the Candy Man color. It's very close to mauve, a little lighter, which is not great for my skin tone. I'm fair with dark hair. I'd try this in a brighter, redder color.""""]"",['Long-lasting matte lipstick']";;
"5,['4.0 out of 5 stars'],""[""""I love the color of this lipstick and it looks great on my lips.  It looks darker in the container but not so much once you put it on.  I don't mind the chocolate smell.  Most fragrances drive me nuts but the chocolate smell is just fine.  The one thing I don't like at all was how sticky my lips are for a while after application.  It really gets on my nerves.  I know there are many of the newer long lasting lipsticks out there now and this may be a feature of them, but I didn't like that feeling.  Maybe I will get used to it because that's not going to stop me from wearing it.  Overall, this looks great on my lips and is long lasting but with the payoff of sticky lips for a while.""""]"",""['Gorgeous Color, Sticky Texture']""";;
"6,['3.0 out of 5 stars'],""[""""This L'Oreal Paris Cosmetics Infallible Pro Matte Les Chocolats Scented Liquid Lipstick, Candy Man, 0.21 Fluid Ounce says it is not sticky, but in fact this lipstick is sticky. This Candy Man shade is one of the pinker brown shades of their Les Chocolats Liquid Lipsticks, but the pink is very brownish and dull."""", 'As for the scent and taste- the scent is like a chocolate brownie and the taste not near as strong as the smell. If someone looks good in dull brown lipstick shades, they will love these new Les Chocolats Liquid Lipsticks. I personally need a bit more vibrancy and color- nothing bright, just nothing dull like this. 3 STARS.']"",""['Smells Like A Chocolate Brownie, But The Color Is Dull']""";;
"7,['4.0 out of 5 stars'],""['This liquid lipstick smells and tastes like chocolate. It has a matte finish and can last all day. The candy man color is a deep pink/purple color that is a little darker than a dusty rose.', """"The applicator brush is a bit unusual. It's a makeup pad that is spongy and is triangular shaped."""", 'You might need a makeup remover product to get it off because soap will not always work.']"",['Long Lasting Scented Lipstick']";;
"8,['5.0 out of 5 stars'],""['This literally lasted 48 hours for me. I put it on one day and the next day I still had the color. It looks really natural on my pale skin tone, and it feels light and airy, like wearing chapstick.']"",['like wearing chapstick']";;
